actual_prices,predicted_prices
-0.9519251854588815,-0.7665392160415649
-0.9518872115322465,-0.7665198445320129
-0.9519330761449355,-0.7665079236030579
-0.951832963065625,-0.7665243148803711
-0.9520573544502864,-0.7664921879768372
-0.9519493506849218,-0.7665682435035706
-0.9520918762017726,-0.7665337920188904
-0.9520637656327051,-0.766582190990448
-0.9520849718514753,-0.7665736675262451
-0.9520174078521378,-0.7665818333625793
-0.9521352749750697,-0.7665600180625916
-0.9521633855441372,-0.7666001915931702
-0.9521209731065967,-0.766610324382782
-0.9520440389175702,-0.7665974497795105
-0.9520169146842595,-0.7665725350379944
-0.9520864513551106,-0.7665643095970154
-0.9520642588005837,-0.7665887475013733
-0.9520243122024351,-0.7665820717811584
-0.9518778413425573,-0.7665696740150452
-0.9519557618673408,-0.7665215134620667
-0.9518058388323144,-0.7665484547615051
-0.9517698375771929,-0.7664991021156311
-0.9517954823068685,-0.7664877772331238
-0.9518097841753415,-0.7664975523948669
-0.9517274251396526,-0.766503632068634
-0.9513250001508976,-0.7664770483970642
-0.9512485591297493,-0.7663440108299255
-0.9514413877701944,-0.7663198113441467
-0.9512362299327899,-0.7663854956626892
-0.9511533777292227,-0.7663184404373169
-0.9509713987821019,-0.7662922739982605
-0.9510759503723176,-0.7662327885627747
-0.9513960163253838,-0.7662696242332458
-0.9512520113048979,-0.7663785815238953
-0.951544459856775,-0.7663316130638123
-0.9514359629235322,-0.7664315700531006
-0.9515148697840725,-0.7663968205451965
-0.9514941567331806,-0.7664244174957275
-0.9515439666888967,-0.7664192318916321
-0.9515740499294775,-0.7664370536804199
-0.9513970026611405,-0.7664487957954407
-0.951376782778127,-0.7663910984992981
-0.9513166162969653,-0.7663853764533997
-0.9513466995375462,-0.7663670182228088
-0.951291464735168,-0.7663788199424744
-0.9513930573181135,-0.7663621306419373
-0.9513693852599515,-0.7663979530334473
-0.9513008349248573,-0.7663913369178772
-0.9512944237424383,-0.7663699984550476
-0.9513965094932622,-0.7663701176643372
-0.9513757964423705,-0.7664054036140442
-0.9513393020193706,-0.7664000988006592
-0.9512732175236681,-0.7663895487785339
-0.9504254619407394,-0.7663693428039551
-0.9506074408878602,-0.7660871744155884
-0.9501823301767,-0.7661504149436951
-0.9505714396327387,-0.7660107016563416
-0.9504663948746446,-0.7661440968513489
-0.9503786109922937,-0.7661111950874329
-0.9502503873439158,-0.766083836555481
-0.9500925736228355,-0.7660437226295471
-0.9501389314034028,-0.7659937143325806
-0.9502553190226996,-0.7660122513771057
-0.9497384790861614,-0.7660536766052246
-0.9498538803697014,-0.7658836841583252
-0.9493760006955547,-0.7659254670143127
-0.9491920490769205,-0.7657687067985535
-0.949402631760987,-0.7657108902931213
-0.9493227385646902,-0.7657854557037354
-0.9494766069427435,-0.7657623291015625
-0.9506054682163466,-0.7658180594444275
-0.9502997041317534,-0.7661996483802795
-0.9503480345838344,-0.766099750995636
-0.950432859458915,-0.7661191821098328
-0.9502040295633485,-0.7661504149436951
-0.9502563053584564,-0.766076385974884
-0.9504713265534285,-0.7660968899726868
-0.9503855153425909,-0.7661723494529724
-0.9502350991396862,-0.7661468982696533
-0.9503312668759696,-0.7660996317863464
-0.9504570246849555,-0.7661352753639221
-0.9503588842771585,-0.766180694103241
-0.9503105538250777,-0.7661507725715637
-0.9502242494463619,-0.76613849401474
-0.950266168716024,-0.7661122679710388
-0.9502720867305644,-0.7661293148994446
-0.9505497402460903,-0.7661347985267639
-0.9503963650359152,-0.7662308216094971
-0.9505946185230225,-0.7661827206611633
-0.9506424558072248,-0.7662521004676819
-0.9510034546941962,-0.7662706971168518
-0.9509871801542099,-0.7663949131965637
-0.950933424855467,-0.7663918137550354
-0.9509521652348453,-0.7663763165473938
-0.9511277329995471,-0.7663851380348206
-0.9511020882698715,-0.7664465308189392
-0.9509171503154804,-0.766440212726593
-0.9508540248270483,-0.7663807272911072
-0.9508574770021969,-0.7663623690605164
-0.9508638881846159,-0.7663665413856506
-0.9508895329142915,-0.7663714289665222
-0.9508984099361022,-0.7663822770118713
-0.9509802758039126,-0.7663881182670593
-0.9509738646214937,-0.7664179801940918
-0.9509876733220882,-0.7664183974266052
-0.9509403292057641,-0.7664257884025574
-0.9509753441251289,-0.7664125561714172
-0.9510024683584395,-0.7664270401000977
-0.9510438944602231,-0.7664386034011841
-0.9510350174384123,-0.7664552330970764
-0.9510527714820338,-0.7664543986320496
-0.9510029615263179,-0.7664628624916077
-0.9509906323293585,-0.7664486765861511
-0.9509393428700074,-0.7664471864700317
-0.9509477267239399,-0.76643306016922
-0.9508964372645887,-0.766438364982605
-0.9508806558924807,-0.7664240002632141
-0.9507805428131701,-0.766421377658844
-0.9508559974985619,-0.7663906216621399
-0.9508564906664402,-0.7664186954498291
-0.9508865739070211,-0.7664210200309753
-0.950839229790697,-0.766433596611023
-0.9509891528257235,-0.766420841217041
-0.9510305789275071,-0.766473114490509
-0.9509773167966423,-0.7664892673492432
-0.9509674534390749,-0.7664734721183777
-0.9509477267239399,-0.7664725184440613
-0.9510207155699395,-0.7664687037467957
-0.9509437813809127,-0.7664955854415894
-0.9509541379063586,-0.7664719820022583
-0.9509551242421154,-0.7664778828620911
-0.9510103590444935,-0.7664805054664612
-0.9509911254972369,-0.7665018439292908
-0.9509684397748316,-0.7664973735809326
-0.950996550343899,-0.7664920687675476
-0.9509861938184532,-0.7665038704872131
-0.950920602490629,-0.766502320766449
-0.9505946185230225,-0.7664831876754761
-0.9506222359242115,-0.7663763761520386
-0.9503968582037935,-0.7663887143135071
-0.9503850221747125,-0.766315758228302
-0.9503953787001584,-0.7663149833679199
-0.9503983377074287,-0.766321063041687
-0.9503352122189965,-0.7663252949714661
-0.9503120333287127,-0.7663071751594543
-0.950410666904388,-0.7663021683692932
-0.9503963650359152,-0.7663378119468689
-0.9503795973280504,-0.7663362622261047
-0.9503860085104692,-0.7663334012031555
-0.9501478084252136,-0.7663385272026062
-0.9502040295633485,-0.766261100769043
-0.9502730730663211,-0.7662833333015442
-0.9501788780015513,-0.7663094401359558
-0.950199591052443,-0.7662809491157532
-0.9504437091522393,-0.7662906050682068
-0.950424968772861,-0.7663756012916565
-0.9503978445395503,-0.7663716673851013
-0.9500817239295112,-0.766365647315979
-0.9501246295349298,-0.7662624716758728
-0.950130054381592,-0.7662797570228577
-0.9500846829367815,-0.7662845849990845
-0.9501724668191324,-0.766272246837616
