Date,TSMC_price,TSMC_zscore,MediaTek_price,MediaTek_zscore,Zscore_diff
2012-02-13,52.55,1.644804362406256,168.82,0.5018265357461108,1.1429778266601454
2012-02-14,53.03,1.8379749502247658,171.26,0.679811093963409,1.1581638562613568
2012-02-15,53.85,2.1685368205652114,172.07,0.7515590523379047,1.4169777682273068
2012-02-16,53.85,2.140889233933952,164.21,0.2288933296111001,1.9119959043228518
2012-02-17,54.88,2.5412439270375327,164.21,0.24475843098013084,2.296485496057402
2012-02-20,54.88,2.503501303199871,166.92,0.45272695498867915,2.050774348211192
2012-02-21,54.88,2.4653914076145993,165.84,0.383473795866426,2.0819176117481732
2012-02-22,54.67,2.342959470103658,169.63,0.6599679976657873,1.6829914724378705
2012-02-23,53.58,1.8753193780247748,164.75,0.31160069778543126,1.5637186802393435
2012-02-24,54.26,2.124064429647828,163.67,0.23671867631961946,1.8873457533282088
2012-02-29,55.63,2.6295660481147545,163.13,0.2016284656866645,2.4279375824280898
2012-03-01,54.95,2.323578581671139,164.48,0.3049689495164986,2.0186096321546407
2012-03-02,54.88,2.2631970712180194,170.72,0.7646231898023699,1.4985738814156495
2012-03-05,54.13,1.9468061609596947,166.92,0.48774325099987187,1.459062909959823
2012-03-06,54.54,2.0788337567669037,170.17,0.7279363632219161,1.3508973935449875
2012-03-07,54.26,1.9477964912877967,172.07,0.8673162729553425,1.0804802183324542
2012-03-08,54.67,2.077441819069117,169.09,0.6479190513984048,1.429522767670712
2012-03-09,54.88,2.1294394267280197,168.01,0.5690303282678079,1.560409098460212
2012-03-12,54.88,2.1032051279322053,164.21,0.29149698850057204,1.8117081394316332
2012-03-13,55.77,2.400092816325485,164.48,0.31287788731466354,2.0872149290108215
2012-03-14,57.08,2.8292908516461974,165.84,0.4129949488607943,2.416295902785403
2012-03-15,57.08,2.7775547999395385,169.9,0.71401666193622,2.0635381380033184
2012-03-16,55.63,2.2248011745586465,167.46,0.5362842522346662,1.6885169223239802
2012-03-19,57.42,2.8093439334453456,166.38,0.4579378182036182,2.3514061152417276
2012-03-20,57.08,2.6432336043310465,164.75,0.33881042934139205,2.3044231749896547
2012-03-21,58.24,2.982642629181149,163.94,0.2819749089530824,2.7006677202280667
2012-03-22,58.45,2.9898378692859886,162.59,0.18574327845402697,2.8040945908319617
2012-03-23,58.58,2.9715281452051183,160.42,0.029686759429263344,2.941841385775855
2012-03-26,57.35,2.5236282121631604,160.42,0.033905840247856894,2.4897223719153034
2012-03-27,58.86,2.958785440726673,159.88,-0.003312907317778054,2.962098348044451
2012-03-28,58.65,2.841838055270512,155.27,-0.34505354044673786,3.18689159571725
2012-03-29,57.69,2.498821304236199,148.5,-0.8434920588808523,3.342313363117051
2012-03-30,58.24,2.635557345454525,153.1,-0.4958159558918328,3.1313733013463576
2012-04-02,58.38,2.639049405134438,149.85,-0.7319216102931946,3.3709710154276324
2012-04-03,58.31,2.5774333707570265,150.12,-0.7057983095624417,3.283231680319468
2012-04-05,57.01,2.150686263108524,148.77,-0.8001480129865352,2.950834276095059
2012-04-06,57.49,2.270384148772765,151.21,-0.6115404396595661,2.881924588432331
2012-04-09,56.94,2.0782022382836973,147.95,-0.8494675868679965,2.927669825151694
2012-04-10,56.25,1.8479202934661145,149.31,-0.741051404776718,2.5889716982428324
2012-04-11,56.53,1.9114546948678435,150.12,-0.6742857117902187,2.5857404066580623
2012-04-12,56.66,1.9290843465314282,150.66,-0.627957022201549,2.5570413687329774
2012-04-13,58.24,2.3694567488722758,151.48,-0.5611060615009624,2.930562810373238
2012-04-16,58.24,2.336323940160481,152.83,-0.4544202407458268,2.790744180906308
2012-04-17,57.49,2.0893580526453435,148.5,-0.7751291464714883,2.864487199116832
2012-04-18,58.31,2.2961896055452957,150.39,-0.6261626723016905,2.9223522778469864
2012-04-19,58.86,2.4178802091226497,149.85,-0.661039957600788,3.078920166723438
2012-04-20,57.83,2.0943984346960987,140.91,-1.3314631913169837,3.4258616260130825
2012-04-23,57.83,2.06906115115648,141.18,-1.3017138647028286,3.3707750158593086
2012-04-24,58.04,2.103446857152779,139.82,-1.3941756326669876,3.4976224898197668
2012-04-25,57.76,2.001392271786196,142.53,-1.1786711469340345,3.1800634187202306
