time,strategy_value,hold_value
2021-10-04,90341.36294974409,98238.14696288743
2021-10-05,89191.4341966751,96861.68128834749
2021-10-06,89321.05951952824,96999.71062156666
2021-10-07,92055.95669543867,99991.63816633748
2021-10-08,91571.61121006143,99505.50636640853
2021-10-12,90580.18469605851,98248.64123397904
2021-10-13,89034.23583784603,96521.97807299846
2021-10-14,88022.33223786044,95458.90615925094
2021-10-15,90828.94650102287,98674.6246177919
2021-10-18,90972.87520784467,98428.04475773919
2021-10-19,93508.69178939461,101021.60291065283
2021-10-20,93543.96180206988,101021.55463651281
2021-10-21,94075.49680565881,101525.67121120763
2021-10-22,95065.30698921384,102589.02487254319
2021-10-25,95114.49893810975,102655.42496736898
2021-10-26,96010.86832159168,103612.37389587406
2021-10-27,95830.16332440323,103393.1496558016
2021-10-28,95203.89107675082,102718.9114121118
2021-10-29,93711.34462830829,101025.16030449924
2021-11-01,94155.51459661649,101523.66344490892
2021-11-02,94609.75502549554,102026.3497740022
2021-11-03,94795.1745744081,102246.40407700364
2021-11-04,94169.52126902273,101595.01056142009
2021-11-05,95881.17093846413,103376.36057069358
2021-11-08,97946.5083708455,105747.88729658
2021-11-09,98782.36548746839,106430.83404768512
2021-11-10,98010.53671431684,105429.51294600012
2021-11-11,97315.89161954429,104693.12224794146
2021-11-12,98508.1534421662,106111.20580119586
2021-11-15,100512.67524944144,108729.27042517549
2021-11-16,101037.40672991825,109438.94737627488
2021-11-17,100898.03801664495,109174.22576498361
2021-11-18,102858.0627217391,112357.19342612069
2021-11-19,103631.44571535625,113074.71300660717
2021-11-22,103039.86566476224,112281.87574746713
2021-11-23,102140.441140891,110708.03782295944
2021-11-24,100651.24097059318,109106.67731573267
2021-11-25,100532.39314465466,108844.7107580712
2021-11-26,98912.20491740614,106635.82195127248
2021-11-29,99283.45827564165,107692.98647098908
2021-11-30,99274.71465256737,106920.30414951523
2021-12-01,101271.83159706277,110190.15739020615
2021-12-02,103623.43455916183,112344.05632498514
2021-12-03,102277.32326854728,110663.91771369365
2021-12-06,101803.31389183512,111241.01679948188
2021-12-07,102639.8117452561,110863.98363880445
2021-12-08,102605.949005934,111969.00585049827
2021-12-09,103419.86471514279,112015.89676639337
2021-12-10,102831.05141958821,111223.6458660966
2021-12-13,102277.9581942634,110856.13448007329
2021-12-14,101915.56268524636,110413.7742924042
2021-12-15,101907.95875612469,109990.12770610262
2021-12-16,103532.34876287742,112260.16721888413
2021-12-17,103565.5104913747,111673.40268867274
2021-12-20,101939.1817928673,109807.26409138131
2021-12-21,102529.3796260766,111536.01966602592
2021-12-22,102934.98143082272,111560.40401413877
2021-12-23,103951.6317030579,112632.02882515982
2021-12-24,104086.19351687482,113732.1892823684
2021-12-27,104613.34681711593,115189.86369819907
2021-12-28,106221.76895123321,117553.7760618692
2021-12-29,106432.8589428185,118150.42761530454
2021-12-30,106283.68555467759,118303.35724563894
2022-01-03,108887.04266586778,117854.14960179495
2022-01-04,112362.09961017357,120957.56625071673
2022-01-05,112310.84581344509,120922.97225447337
2022-01-06,110125.39058620916,118307.354400213
2022-01-07,107626.86468359036,115565.0618072588
2022-01-10,108209.38979421282,116122.26809032573
2022-01-11,107926.90818465056,116048.76384780783
2022-01-12,108721.96045602564,117120.18630537343
2022-01-13,109935.31436612636,118018.74172244962
2022-01-14,107753.09990959104,117122.1457810794
2022-01-17,112703.04256019283,120830.92294640669
2022-01-18,111521.92043794862,118431.1885132125
2022-01-19,110796.12080896282,117447.77523670382
2022-01-20,109954.8165927346,116644.17243307515
2022-01-21,108047.34191173974,114678.26057572699
2022-01-24,110068.48325014685,116823.87089028169
2022-01-25,109084.95514865375,115481.84135539435
2022-01-26,108146.29154653547,114499.32044296355
2022-02-07,109434.72433239485,115741.42427874613
2022-02-08,108551.54192027592,114839.646819854
2022-02-09,110451.26968865562,117131.91646189014
2022-02-10,113292.76015423077,120167.70576677125
2022-02-11,112970.65036741868,119742.03556576854
2022-02-14,109693.80327970408,116201.8052741604
2022-02-15,109095.05213690095,115574.27588498253
2022-02-16,111660.12935572713,118336.6533370237
2022-02-17,111572.64048497171,118245.27968694172
2022-02-18,110383.6238106053,116988.5039416783
2022-02-21,110337.73303093422,117051.8217125252
2022-02-22,109069.13396532931,115552.93324760377
2022-02-23,109219.6074115073,115889.65411156302
2022-02-24,104834.53670851827,110838.53964923465
2022-02-25,105535.46816128508,112145.41781994999
2022-03-01,105847.38197835415,112921.05132059753
2022-03-02,105077.78544851067,111613.61961763262
2022-03-03,105216.68912663072,111706.25484202347
2022-03-04,103095.09851915983,108212.98242812521
2022-03-07,99184.61868476361,103687.5105945614
2022-03-08,97288.09783767104,102037.47616332064
2022-03-09,98067.10408699229,102649.33769356932
2022-03-10,101280.94113287391,105906.7000678238
2022-03-11,98834.66281190664,103120.93299279189
2022-03-14,97914.65408592201,101835.35793534762
2022-03-15,94980.09802556953,98431.47865722768
2022-03-16,95407.11290204685,98838.12847411427
2022-03-17,100205.08228888936,104287.64330138596
2022-03-18,100138.41123496508,104251.84337722283
2022-03-21,101024.938015476,105183.98777692647
2022-03-22,100590.93991034098,104753.53937165934
2022-03-23,101419.79162099578,105490.44640703098
2022-03-24,101281.49363178539,105309.81766966615
2022-03-25,101861.88572765811,105879.94224958375
2022-03-28,100390.49534338468,104258.4940115135
2022-03-29,98573.11014704114,101892.36971842621
2022-03-30,99452.76038404535,103011.72435421053
2022-03-31,98517.12482334077,102191.28925202502
2022-04-01,97771.57194580886,101223.4705578827
2022-04-06,95859.36575473248,99266.8785542362
2022-04-07,92962.77637446125,96435.10599737205
2022-04-08,92401.28249383399,95953.23923896877
2022-04-11,91568.92754075854,94963.26675462259
2022-04-12,91844.96950018358,95218.56996526268
2022-04-13,95253.56948008401,98735.32014349976
2022-04-14,94087.80392786051,97669.52058321438
2022-04-15,91435.64043078884,95087.76058615457
2022-04-18,91432.88471631963,95059.5170509498
2022-04-19,92026.04309964586,95684.31993731402
2022-04-20,93539.52662192943,97134.60114244417
2022-04-21,93999.06915081425,97389.62176106362
2022-04-22,92654.1750791667,96001.26502756862
2022-04-25,90818.50567504244,94098.95789461955
2022-04-26,90540.7795824061,93788.54950379417
2022-04-27,87477.23784280231,90663.46834605328
2022-04-28,88704.10004403925,92216.1698857916
2022-04-29,89589.88839571596,92935.2413356912
2022-05-03,88455.50917521099,91770.57702109478
2022-05-04,89110.27475912195,92533.21310411474
2022-05-05,90430.8965953244,93897.02334395045
2022-05-06,88704.93859913829,92293.15240513037
2022-05-09,87115.88263699456,90432.12902007239
2022-05-10,87068.01316511157,90647.09329160156
2022-05-11,87678.34239974536,91406.81771499607
2022-05-12,85413.44895438476,89507.2836505305
2022-05-13,86617.11794567475,91294.24654629298
2022-05-16,87674.7591897333,91124.57592741265
2022-05-17,89364.80503408545,92884.43792248746
2022-05-18,90757.46664918077,94357.58604075252
2022-05-19,88640.77176593352,92403.40702385435
2022-05-20,89687.40303037394,93166.09986030219
2022-05-23,89354.72440407686,92824.60664287827
2022-05-24,87993.99748017188,91406.13485350643
2022-05-25,88869.18663465302,92472.83227699087
2022-05-26,87358.41213288228,91042.76100505679
2022-05-27,89880.58978110398,93443.75756828203
2022-05-30,92752.23094705943,96423.55882488187
2022-05-31,95208.94358790613,99052.23065640626
2022-06-01,94130.71169079344,98079.95830351699
2022-06-02,92858.7926124505,96896.80885305713
2022-06-06,93060.51714894851,97274.58653176198
2022-06-07,92020.3232073185,96017.8390857232
2022-06-08,94248.02776594885,98982.5069807563
2022-06-09,93708.07342217147,98390.44800020286
2022-06-10,92366.38856169711,97710.1062044862
2022-06-13,89700.76858342493,94160.87671419172
2022-06-14,89154.63784380187,93515.56571116886
2022-06-15,88607.22377625768,93362.76563306457
2022-06-16,88772.28478451961,92944.04041313058
2022-06-17,87087.83915034177,90067.38629105153
2022-06-20,86884.59177455232,90285.8822405216
2022-06-21,88404.30841497655,92424.52633933557
2022-06-22,85847.12485841157,88215.78316490162
2022-06-23,83342.72248776676,84709.84510808621
2022-06-24,82708.91870556766,83628.93609219491
2022-06-27,84335.57983211038,85159.51390169693
2022-06-28,82707.60023683531,83378.33196726501
2022-06-29,82862.50607574996,83473.75793808771
2022-06-30,80911.44021353246,81567.48920401713
2022-07-01,76695.7471965974,77196.8373380087
2022-07-04,75157.09011240343,75984.49590766129
2022-07-05,76036.75294491086,76751.61358891595
2022-07-06,74418.82393373146,75223.24683234881
2022-07-07,78194.28560633877,79051.02083763076
2022-07-08,79894.90960735119,80803.72890381468
2022-07-11,78715.49290059124,79502.66116198331
2022-07-12,76309.97617034247,76991.41424394207
2022-07-13,79468.2271931175,80044.00351830611
2022-07-14,80564.92145814188,81184.19907578584
2022-07-15,82306.45109659144,82805.54265866944
2022-07-18,83435.49273933649,83888.58992880088
2022-07-19,83146.37921788187,83570.37363446594
2022-07-20,84052.00668150764,84479.12598976945
2022-07-21,87400.82799133137,87824.2004897932
2022-07-22,87018.54663259305,87325.0514953076
2022-07-25,85710.1650472649,85967.96849560805
2022-07-26,84889.44524127632,85143.94015490139
2022-07-27,85266.85928418093,85494.9749131295
2022-07-28,85522.22394919187,85726.02530123063
2022-07-29,86250.14865168033,86473.39572605737
2022-08-01,86644.34821558057,86745.42608748074
2022-08-02,84927.20217175264,85024.43675777307
2022-08-03,85933.48326729237,85989.00232218254
2022-08-04,85721.94344766584,85777.75098507902
2022-08-05,89167.86736770683,89219.52310670016
2022-08-08,88319.69389353287,88375.4746463487
2022-08-09,87195.37372143468,87268.939584844
2022-08-10,84652.29329173006,84778.15661041283
2022-08-11,85880.31717375766,86092.34240509826
2022-08-12,87166.93725634327,87243.04885459311
2022-08-15,89237.94378293768,89152.12748467868
2022-08-16,89383.25363792728,89322.22071286426
2022-08-17,89305.07010077467,89303.82021330293
2022-08-18,88752.52620297635,88646.19993318479
2022-08-19,88036.06099832396,87992.7969520615
2022-08-22,86359.74570952759,86383.17067154171
2022-08-23,85714.36941220837,85645.31158295403
2022-08-24,85023.97364485137,84990.3026763415
2022-08-25,85614.77098991003,85603.85742982401
2022-08-26,86486.51263412937,86451.56265320227
2022-08-29,83687.38501255488,83718.16076122416
2022-08-30,83784.57837845274,83764.45047671482
2022-08-31,85174.24489652227,85161.88238559487
2022-09-01,82739.84033036139,82726.7710126864
2022-09-02,80425.81199883633,80475.2593089485
2022-09-05,81289.6952496062,81272.32582434769
2022-09-06,81385.4942023788,81394.42602128784
2022-09-07,79442.06480479166,79374.25007302237
2022-09-08,79907.85134126009,79840.47286752636
2022-09-12,81138.25150146126,81063.1787894232
2022-09-13,81563.43184682881,81540.44806365359
2022-09-14,79826.49312043772,79749.07564254051
2022-09-15,79837.10552468096,79750.84382284016
2022-09-16,78385.37062267387,78338.51870534208
2022-09-19,78282.66302364736,78184.30858028875
2022-09-20,79135.12525491632,79044.31993728319
2022-09-21,78723.00462577853,78587.83193010598
2022-09-22,77253.27735024897,77136.96748767994
2022-09-23,75746.21392703449,75629.62918961553
2022-09-26,74320.83523497109,74206.31957454716
2022-09-27,74390.36224832626,74266.32528915186
2022-09-28,72074.62065509886,71933.77984107756
2022-09-29,71691.1468553662,71555.31110751601
2022-09-30,71057.88842759188,71012.6060982995
2022-10-03,70398.70814078707,70399.23462468288
2022-10-04,72882.43420734667,73017.98539718334
2022-10-05,75834.54700699916,76035.9598987787
2022-10-06,75779.39260751224,75787.06669151796
2022-10-07,73346.30014367636,73339.61088619844
2022-10-11,69246.11389025691,69440.85613307492
2022-10-12,68617.31738941681,68844.02236349495
2022-10-13,68124.55346747804,68314.07927050746
2022-10-14,71765.8839898323,72358.59379163693
2022-10-17,69727.04295742218,70608.93326248854
2022-10-18,71327.28494430071,72108.36862674465
2022-10-19,69524.15545995675,70414.95210953715
2022-10-20,69529.31956459433,70165.55098557491
2022-10-21,68455.58570833149,69274.82729087438
2022-10-24,68891.91764554974,70335.97270341853
2022-10-25,66023.1365238036,67386.79527169526
2022-10-26,67152.68410089734,68798.57598797583
2022-10-27,68718.04787767086,70261.05167486824
2022-10-28,67184.66161048616,68283.74309380232
2022-10-31,69368.6002812694,70738.70643783532
2022-11-01,69869.09637183644,71414.00764769335
2022-11-02,70311.92902004172,71733.09232228225
2022-11-03,68993.43634657637,70794.92265679476
2022-11-04,68637.30471080041,70433.07077851982
2022-11-07,70404.99475715132,72527.08671896317
2022-11-08,71592.44568165952,73364.14687255875
2022-11-09,74894.42481431858,76794.6487567207
2022-11-10,74109.40064445234,76510.17698110259
2022-11-11,79827.02935790784,82021.02709925125
2022-11-14,80136.10867913051,82170.20912116862
2022-11-15,85236.54731034308,86874.87700660383
2022-11-16,86299.66748285496,87929.99544247826
2022-11-17,85891.05471483979,87507.22573196907
2022-11-18,85929.16700316258,87507.74708785777
2022-11-21,85342.35666502993,86936.8579262249
2022-11-22,85856.68172307085,87326.25294969183
2022-11-23,85474.30726680055,86924.24030347684
2022-11-24,87227.02475375714,88695.26396561044
2022-11-25,87351.98850671378,88813.85657791958
2022-11-28,84373.9028571279,85787.5797640067
2022-11-29,85543.31502030129,86978.40325230079
2022-11-30,86960.49274701055,88465.6825714189
2022-12-01,88215.5441052266,89716.15052750993
2022-12-02,87540.89305932021,89054.45862737233
2022-12-05,87200.5762954383,88738.15374770811
2022-12-06,85375.29176057644,86899.4201240874
2022-12-07,84616.839902403,86087.25825465769
2022-12-08,83703.214102599,85108.5858705249
2022-12-09,85946.0754546891,87460.4745887201
2022-12-12,84421.41234923736,85849.38473047297
2022-12-13,83915.58396741968,85352.33105067238
2022-12-14,85287.7082818274,86708.96808206629
2022-12-15,83600.2926316028,84725.0652036463
2022-12-16,81468.17316498449,82580.8656901551
2022-12-19,80837.94277433827,81936.67049661184
2022-12-20,79444.13571901277,80520.94447521071
2022-12-21,80061.36825848537,81151.44925777055
2022-12-22,81285.33770490527,82381.41591333809
2022-12-23,80107.85970282066,81175.12324846887
2022-12-26,79747.54820313046,80755.86399852106
2022-12-27,80087.953952963,81110.3727850509
2022-12-28,78491.8262827111,79464.78114052271
2022-12-29,77506.31599247205,78463.2700150192
2022-12-30,77494.52572599785,78434.11070944424
2023-01-03,79058.30466807981,80020.32229001529
2023-01-04,78267.55554197222,79212.98901166474
2023-01-05,78781.93262044586,79695.29762241698
2023-01-06,80679.86858978968,81526.46953000847
2023-01-09,83632.86076235346,84453.56980170056
2023-01-10,85288.54640014342,86081.51519830109
2023-01-11,85980.9297271581,86754.31284043305
2023-01-12,86635.43232733519,87424.16734975006
2023-01-13,86677.65027543479,87353.65067546711
2023-01-16,87759.83749463658,88419.14960077735
2023-01-17,86834.0481482455,87553.46960024833
2023-01-30,93079.9542400096,93940.6104036516
2023-01-31,90092.9196766832,90789.46883605876
2023-02-01,91095.23031472691,91864.17953228542
2023-02-02,93543.85721574587,94189.70968219073
2023-02-03,93986.23774495978,94617.21504893625
2023-02-06,91378.09827343769,91960.2031444906
2023-02-07,90128.71499340137,90817.61180298783
2023-02-08,93341.6427680692,94003.70021755455
2023-02-09,93732.2419161253,94319.12876227256
2023-02-10,93373.94659979925,94189.44460345438
2023-02-13,92392.94845833122,93270.21975556153
2023-02-14,92710.62310678775,93680.0374963304
2023-02-15,89723.46618281308,90553.49429464024
2023-02-16,89988.99730177832,90874.92404365941
2023-02-17,90375.53459775976,90781.42776021016
2023-02-20,90520.75115498906,90882.45562891597
2023-02-21,90374.10038101094,90731.74313654816
2023-02-22,88844.06896348349,89189.97043985497
2023-02-23,91916.65518232684,92158.50158786964
2023-02-24,89889.92310292358,90175.20329441172
2023-03-01,95417.3095953898,95386.50278367777
2023-03-02,94256.30808923766,94147.66434507987
2023-03-03,93964.93906335488,93875.48505416368
2023-03-06,94956.3841249658,94874.99292511075
2023-03-07,95475.64137721714,95390.77694553963
2023-03-08,94078.00425592855,93906.63768922251
2023-03-09,94111.86861809628,93936.5026569342
2023-03-10,92623.15244422927,92452.5166713415
2023-03-13,93373.67650510262,93212.42284182619
2023-03-14,92623.66636627453,92487.29564779914
2023-03-15,92562.80824403555,92395.3474814974
2023-03-16,92129.2499436626,91978.42377467547
2023-03-17,94368.31369224416,94196.17342956508
2023-03-20,93606.12452992024,93467.7762631763
2023-03-21,94179.32085668402,93984.50285921241
2023-03-22,96334.42058950424,96048.91468196452
2023-03-23,97526.42255308348,97237.32807982535
2023-03-24,97439.14952468335,97143.895378587
2023-03-27,96099.20390206773,95807.91640724972
2023-03-28,94702.40508895316,94407.10596602774
2023-03-29,95585.9131374769,95287.73594204099
2023-03-30,96345.46016526326,96044.82670088993
2023-03-31,96736.9574918717,96421.5420497709
2023-04-06,94484.28435477708,94066.75488020713
2023-04-07,94281.97119176066,93906.01060314289
2023-04-10,93623.37134473622,93290.2003071685
2023-04-11,94295.06004620719,93729.19774380724
2023-04-12,94073.88185938551,93495.98357972578
2023-04-13,92659.94751028181,92103.51733617632
2023-04-14,93141.98297631937,92522.99313923411
2023-04-17,91111.60087659364,90468.85895634099
2023-04-18,89057.99409458194,88694.72932780495
2023-04-19,87628.80202506899,87426.43990224549
2023-04-20,87594.87748955764,87553.35008549227
2023-04-21,86740.25975019782,86862.52787171579
2023-04-24,87648.74861525804,87240.75921168087
2023-04-25,84840.27572098128,84789.32115069666
2023-04-26,84445.49134134264,84169.68015616908
2023-04-27,85728.02791707456,85184.13499002242
2023-04-28,86483.76403747802,86110.76487609227
2023-05-02,86979.85535394447,86413.38718584205
2023-05-03,87484.63831549081,86561.93271419608
2023-05-04,86673.65801691216,85972.84140069866
2023-05-05,87396.81586965462,86595.94467060037
2023-05-08,87637.70550643074,86942.95091409067
2023-05-09,88147.13117637846,87588.8180980995
2023-05-10,86964.00841537591,86405.2248333533
2023-05-11,86757.13073324024,86061.93863498657
2023-05-12,87028.08156188803,86125.17869791789
2023-05-15,87576.37798108353,86529.87014642284
2023-05-16,88227.6719451817,87359.49498004146
2023-05-17,89468.83442129329,88891.3816210971
2023-05-18,90351.79739207319,90092.63549288348
2023-05-19,91355.14547302657,90851.44781540225
2023-05-22,92017.70298665257,91221.29273821831
2023-05-23,93026.30568065667,91847.2862121329
2023-05-24,92304.91109801493,91093.15643590668
2023-05-25,93074.81509115829,92462.64600451042
2023-05-26,96184.77853371743,95857.43574232077
2023-05-29,97130.40522965386,96552.70050797134
2023-05-30,99783.3961950463,98017.81866638614
2023-05-31,99007.44223582301,97067.28824998306
2023-06-01,97635.36136954349,95756.13429522286
2023-06-02,98533.4308769337,96903.92378205007
2023-06-05,98956.36878632728,96815.95925202851
2023-06-06,99097.37721736736,97124.86854388991
2023-06-07,100529.40149166924,98524.24398427237
2023-06-08,100030.61176381953,97743.18702988961
2023-06-09,100096.76356612505,98013.44996210148
2023-06-12,100877.36152222895,98987.06029547908
2023-06-13,102959.63310530066,101399.1884044518
2023-06-14,102941.43660386831,101207.95811762947
2023-06-15,101739.3376040846,100623.3457797543
2023-06-16,100064.2273394355,99467.31440730304
2023-06-19,103728.9903786432,101212.14419145836
2023-06-20,101939.2094726382,99927.68730792875
2023-06-21,102070.41934126957,99900.83682661412
2023-06-26,100878.71280971802,98723.02173195181
2023-06-27,100357.61478913759,98261.96044680243
2023-06-28,101925.53357996266,99444.17432386288
2023-06-29,101961.44230258375,99429.83569165326
2023-06-30,101403.5145770406,99117.8300588961
2023-07-03,101873.07614569471,99592.13605703608
2023-07-04,103112.50553423823,100756.84789819169
2023-07-05,102641.33811034057,100282.50380803764
2023-07-06,100929.34883104695,98313.72986583623
2023-07-07,100236.80898346126,97744.44550729245
2023-07-10,99410.86572639942,97098.90538893503
2023-07-11,101397.07491449898,99068.69976063276
2023-07-12,101360.14483611794,99082.36881399421
2023-07-13,101282.16700072012,99320.60362234231
2023-07-14,102857.07157003532,100706.35029355866
2023-07-17,101933.55596537521,100051.63352927071
