actual_prices,predicted_prices
-0.9505714396327387,-0.8584399819374084
-0.9504663948746446,-0.8585737347602844
-0.9503786109922937,-0.8585363030433655
-0.9502503873439158,-0.8585044741630554
-0.9500925736228355,-0.8584585189819336
-0.9501389314034028,-0.8584021329879761
-0.9502553190226996,-0.8584169745445251
-0.9497384790861614,-0.8584561944007874
-0.9498538803697014,-0.858274519443512
-0.9493760006955547,-0.8583126068115234
-0.9491920490769205,-0.8581454753875732
-0.949402631760987,-0.8580805063247681
-0.9493227385646902,-0.8581510186195374
-0.9494766069427435,-0.8581217527389526
-0.9506054682163466,-0.8581721186637878
-0.9502997041317534,-0.8585643768310547
-0.9503480345838344,-0.8584562540054321
-0.950432859458915,-0.8584720492362976
-0.9502040295633485,-0.8584997057914734
-0.9502563053584564,-0.8584190607070923
-0.9504713265534285,-0.8584359288215637
-0.9503855153425909,-0.8585089445114136
-0.9502350991396862,-0.858477771282196
-0.9503312668759696,-0.85842365026474
-0.9504570246849555,-0.8584557771682739
-0.9503588842771585,-0.8584979176521301
-0.9503105538250777,-0.8584626913070679
-0.9502242494463619,-0.8584437370300293
-0.950266168716024,-0.8584123253822327
-0.9502720867305644,-0.8584251403808594
-0.9505497402460903,-0.8584259748458862
-0.9503963650359152,-0.8585212826728821
-0.9505946185230225,-0.8584657311439514
-0.9506424558072248,-0.8585335612297058
-0.9510034546941962,-0.8585492968559265
-0.9509871801542099,-0.8586740493774414
-0.950933424855467,-0.858667254447937
-0.9509521652348453,-0.8586468696594238
-0.9511277329995471,-0.8586524724960327
-0.9511020882698715,-0.8587126731872559
-0.9509171503154804,-0.8587029576301575
-0.9508540248270483,-0.8586368560791016
-0.9508574770021969,-0.8586137294769287
-0.9508638881846159,-0.8586136698722839
-0.9508895329142915,-0.8586145043373108
-0.9508984099361022,-0.858622133731842
-0.9509802758039126,-0.8586245179176331
-0.9509738646214937,-0.8586517572402954
-0.9509876733220882,-0.8586483001708984
-0.9509403292057641,-0.8586522340774536
-0.9509753441251289,-0.8586340546607971
-0.9510024683584395,-0.8586453199386597
-0.9510438944602231,-0.8586534857749939
-0.9510350174384123,-0.8586668372154236
-0.9510527714820338,-0.8586631417274475
-0.9510029615263179,-0.858668327331543
-0.9509906323293585,-0.8586498498916626
-0.9509393428700074,-0.8586441278457642
-0.9509477267239399,-0.8586248159408569
-0.9508964372645887,-0.8586269021034241
-0.9508806558924807,-0.8586072325706482
