time,value
2020-09-01,32652.54775173686
2020-09-02,33949.45661420421
2020-09-03,33452.87097239412
2020-09-04,33707.13534526437
2020-09-08,32906.83857069532
2020-09-09,33197.49738874746
2020-09-10,32938.45780685343
2020-09-11,33461.81529734229
2020-09-14,33572.295123775395
2020-09-15,33615.20809834261
2020-09-16,33448.4796520701
2020-09-17,33158.977515697734
2020-09-18,32902.3607734725
2020-09-21,32507.095343527562
2020-09-22,32802.05037360327
2020-09-23,32195.529112093926
2020-09-24,32433.6183962038
2020-09-25,32676.903216003833
2020-09-28,33342.53933376061
2020-09-29,33113.4627388042
2020-09-30,33427.95740283731
2020-10-01,33452.288998852506
2020-10-02,33473.08394900911
2020-10-05,33475.80219646944
2020-10-06,33114.013599943275
2020-10-07,33498.830979651335
2020-10-08,33973.03772714553
2020-10-09,34180.48046839196
2020-10-12,34610.90254922109
2020-10-13,34207.84232604172
2020-10-14,34120.86077275681
2020-10-15,34010.901092407374
2020-10-16,34049.73245821433
2020-10-19,33732.57120738266
2020-10-20,34062.508511217304
2020-10-21,33924.77762304197
2020-10-22,34269.3742978832
2020-10-23,34189.60699583356
2020-10-26,33743.12265658996
2020-10-27,33868.62282271729
2020-10-28,32584.512928055203
2020-10-29,32593.070077253953
2020-10-30,32545.247391167417
2020-11-02,32956.47043328201
2020-11-03,33435.30605629263
2020-11-04,33428.048011894105
2020-11-05,33567.170375619615
2020-11-06,33597.62417420544
2020-11-09,35082.74680408474
2020-11-10,35969.96914098385
2020-11-11,36055.517225234675
2020-11-12,35794.92711355577
2020-11-13,36065.7718687207
2020-11-16,36333.76556180253
2020-11-17,36214.48336673644
2020-11-18,35568.76042199267
2020-11-19,35806.53796094616
2020-11-20,35611.357040874274
2020-11-23,35585.682913072844
2020-11-24,35911.65939779717
2020-11-25,35792.62186847748
2020-11-27,35719.474819952135
2020-11-30,35353.00814820619
2020-12-01,35694.86077017617
2020-12-02,35653.383366614056
2020-12-03,36043.07646526974
2020-12-04,36661.221116269335
2020-12-07,36216.01166283261
2020-12-08,36321.577654379566
2020-12-09,36405.65969131423
2020-12-10,36193.73231443196
2020-12-11,36360.700566413194
2020-12-14,36262.556513447686
2020-12-15,36560.63527588767
2020-12-16,36236.03252225118
2020-12-17,36402.85263227593
2020-12-18,36717.3551581769
2020-12-21,36156.65460949208
2020-12-22,36030.40696313698
2020-12-23,36205.02470841658
2020-12-24,36423.07188174117
2020-12-28,36902.313986420675
2020-12-29,36930.799768251534
2020-12-30,37067.72552090902
2020-12-31,37331.547668337436
2021-01-04,36054.08302689105
2021-01-05,35843.28553668454
2021-01-06,34929.96328730777
2021-01-07,34625.26249400947
2021-01-08,35297.726371359924
2021-01-11,34719.28843301181
2021-01-12,34625.98479629919
2021-01-13,34740.468979912
2021-01-14,34232.289393629406
2021-01-15,33938.09127849584
2021-01-19,33880.01788492294
2021-01-20,33932.15476859121
2021-01-21,33962.04197091651
2021-01-22,33664.2853911091
2021-01-25,33932.23845280949
2021-01-26,34299.54410334202
2021-01-27,33657.84334191145
2021-01-28,34029.65335142022
2021-01-29,33360.66424796473
2021-02-01,33538.21437177623
2021-02-02,33872.919403706685
2021-02-03,33758.066973109366
