time,test_value
2008-05-15,10000.562410997563
2008-05-16,10000.859839129305
2008-05-19,10001.446788139336
2008-05-20,10001.334791217134
2008-05-21,10000.810318251019
2008-05-22,10002.33087780808
2008-05-23,10003.035446598538
2008-05-27,10002.22049451071
2008-05-28,10001.416883963679
2008-05-29,10001.198880885879
2008-05-30,10000.754599568449
2008-06-02,10001.082410997562
2008-06-03,10000.608129680133
2008-06-04,10001.475270338848
2008-06-05,10001.634695392791
2008-06-06,10001.163848362703
2008-06-09,10001.411276494446
2008-06-10,10002.67621319328
2008-06-11,10001.369743304964
2008-06-12,10000.909743304963
2008-06-13,9998.52680352833
2008-06-16,9998.013288805641
2008-06-17,9997.826052322585
2008-06-18,9997.33701056601
2008-06-19,9996.831771005154
2008-06-20,9998.128911663869
2008-06-23,9997.929390785583
2008-06-24,9998.701771005155
2008-06-25,9998.403384629984
2008-06-26,9997.724438697755
2008-06-27,9996.323591667666
2008-06-30,9996.890923975066
2008-07-01,9994.489597823263
2008-07-02,9993.714166613721
2008-07-03,9992.899022877207
2008-07-07,9992.75673848198
2008-07-08,9993.839022877208
2008-07-09,9993.344741559778
2008-07-10,9991.740747715376
2008-07-11,9993.060460242348
2008-07-14,9993.914645735435
2008-07-15,9994.618639579838
2008-07-16,9994.975492765523
2008-07-17,9992.28788837409
2008-07-18,9991.888271671462
2008-07-21,9992.166274749261
2008-07-22,9993.251690569807
2008-07-23,9993.605301116839
2008-07-24,9992.88606771158
2008-07-25,9993.390828150723
2008-07-29,9992.818927052866
2008-07-30,9992.499214525893
2008-07-31,9993.141498921123
2008-08-01,9995.734534522097
2008-08-04,9995.928624190841
2008-08-05,9996.702426386559
2008-08-06,9997.429375396589
2008-08-07,9995.811004410412
2008-08-08,9996.684327484416
2008-08-11,9996.666899352673
2008-08-12,9995.440046166987
2008-08-13,9995.969567045273
2008-08-14,9995.477282650045
2008-08-15,9995.282234737873
2008-08-18,9994.503097156958
2008-08-19,9994.213097156957
2008-08-20,9994.463097156957
2008-08-21,9993.559103312555
2008-08-22,9994.445573200872
2008-08-25,9993.996531444298
2008-08-26,9994.28157935647
2008-08-27,9994.23624397127
2008-08-28,9993.142058478183
2008-08-29,9992.130828150723
2008-09-02,9990.988447931151
2008-09-03,9990.771307272436
2008-09-04,9991.636259360266
2008-09-05,9991.495971887238
2008-09-08,9992.41424704907
2008-09-09,9992.566148146927
2008-09-10,9991.638720015184
2008-09-11,9991.400812761727
2008-09-12,9991.42290550827
2008-09-15,9992.645094079158
2008-09-16,9992.144998254815
2008-09-17,9989.905109468153
2008-09-18,9989.524247049068
2008-09-19,9988.492537599896
2008-09-22,9988.426642657636
2008-09-23,9987.619981120635
2008-09-24,9987.458080022776
2008-09-25,9988.336546833294
2008-09-26,9989.582825072925
2008-09-30,9990.67234595121
2008-10-01,9992.380812761729
2008-10-02,9992.201483532126
2008-10-03,9992.422729248581
2008-10-06,9992.119693647606
2008-10-07,9991.009134090546
2008-10-08,9989.433909918685
2008-10-09,9986.866320916248
2008-10-13,9991.046577611285
