time,open,high,low,close,MHULL,SHULL
1506124800,3611.91,3636,3552,3614.87,3776.9257396241323,3841.8959903799905
1506139200,3614.88,3717,3614.88,3689.3,3748.3033615749328,3808.9219106971073
1506153600,3688.77,3803.81,3688.57,3803.81,3726.3439322046993,3776.9257396241323
1506168000,3804,3810.25,3707.42,3724,3708.492576522023,3748.3033615749328
1506182400,3718,3772.52,3698.19,3770,3695.3676049010505,3726.3439322046993
1506196800,3766.16,3783.25,3718.43,3779.17,3686.161393673126,3708.492576522023
1506211200,3781.13,3783.25,3740.53,3769.26,3679.8779543049554,3695.3676049010505
1506225600,3766.16,3770.91,3615,3665.52,3673.1446522967785,3686.161393673126
1506240000,3656.88,3698.19,3641,3688.27,3666.353751408645,3679.8779543049554
1506254400,3681.39,3735.17,3666.47,3703.89,3659.9263782295748,3673.1446522967785
1506268800,3698.11,3714.99,3630,3694.97,3653.999250171786,3666.353751408645
1506283200,3691.28,3694.99,3650.02,3664.22,3647.8389175341863,3659.9263782295748
1506297600,3667.01,3793.73,3658.39,3763.86,3644.4971276197352,3653.999250171786
1506312000,3766.48,3811.58,3753,3771.62,3644.2131170806706,3647.8389175341863
1506326400,3771.51,3784.7,3740,3769.1,3646.8020502130134,3644.4971276197352
1506340800,3768.92,3949,3750.78,3930,3655.9863123582763,3644.2131170806706
1506355200,3930.01,3968.59,3887.13,3926,3670.3465949117017,3646.8020502130134
1506369600,3926,3962.21,3903.37,3918,3688.617388914656,3655.9863123582763
1506384000,3920.66,3939.29,3899.28,3899.35,3709.236074177146,3670.3465949117017
1506398400,3899.99,3932.11,3850.61,3921.96,3731.624789656772,3688.617388914656
1506412800,3914.58,3953.26,3884.13,3953.26,3755.6179145021647,3709.236074177146
1506427200,3951.26,3970,3909.02,3925.04,3779.424699915825,3731.624789656772
1506441600,3921.22,3929,3880,3908.26,3801.8753931491797,3755.6179145021647
1506456000,3911.97,3922.89,3883.95,3888.03,3822.413009671546,3779.424699915825
1506470400,3883.95,3949,3870,3933.56,3842.194875180376,3801.8753931491797
1506484800,3934.96,3953.7,3922.89,3941,3861.143266594517,3822.413009671546
1506499200,3940.02,4100,3923.5,4071,3882.475604222498,3842.194875180376
1506513600,4071,4097,4042.05,4070.68,3905.3889698601665,3861.143266594517
