time,open,high,low,close
1507334400,4370,4500,4309,4435.6
1507420800,4435.9,4632.4,4416.3,4611.9
1507507200,4611.8,4879.8,4551,4782.3
1507593600,4782.3,4940,4716.4,4777.7
1507680000,4777.1,4881.4,4715,4824.9
1507766400,4824.9,5445,4815,5440
1507852800,5440,5920,5369.4,5636.8
1507939200,5636.8,5857.4,5564.3,5833.5
1508025600,5834.9,5877,5450,5713.9
1508112000,5712.1,5810,5570,5764.8
1508198400,5764.7,5779,5511,5597.1
1508284800,5597.2,5597.9,5114,5567
1508371200,5568.1,5744,5505.5,5694.2
1508457600,5694.1,6088.4,5603.3,5983.8
1508544000,5983.7,6199.9,5862.8,6005.1
1508630400,6005.9,6075,5705,5981.3
1508716800,5982.4,6055,5621,5907.3
1508803200,5907.3,5907.3,5457.4,5510
1508889600,5510,5746.9,5365.3,5724.1
1508976000,5724.2,5966.6,5667.5,5890
1509062400,5889.9,6020,5681,5759.7
1509148800,5759.8,5864,5632,5720.3
1509235200,5719.7,6345,5660,6150
1509321600,6150,6239,6006.2,6130
1509408000,6127.9,6481.5,6082.5,6455.1
1509494400,6455,6739.9,6344.5,6739.6
1509580800,6739.2,7350,6707.3,7018.8
1509667200,7018.8,7448,6917,7132
1509753600,7132,7530,6930.1,7369.9
1509840000,7370,7598,7272,7366.7
1509926400,7365.6,7440,6911,6956.5
1510012800,6955.2,7220,6948,7102
1510099200,7102.1,7899.9,6977.4,7446.1
1510185600,7446,7450,7000,7126.4
1510272000,7126.4,7324,6405,6548
1510358400,6545,6789,6163.2,6302.7
1510444800,6299,6469.6,5400.2,5810.7
1510531200,5810,6682,5780,6476.5
1510617600,6476.6,6689.5,6301,6590
1510704000,6590,7319,6589.9,7265.84095228
1510790400,7263.5,8020,7091,7865.2
1510876800,7867.3,8040,7505,7675.9
1510963200,7674.1,7867.8,7412,7773.3
1511049600,7773.2,8130,7650,8052.7
1511136000,8052.6,8315,7925,8248.8
1511222400,8249,8380,7760,8096.9
1511308800,8096.8,8310,8055,8230
1511395200,8230.1,8268,7970,7977.1
1511481600,7977.73459081,8352.1,7871,8191.7
1511568000,8189.5,8770,8131.6,8753.4
1511654400,8753.6,9495,8746.9,9305.1
1511740800,9306.6,9771,9231,9723.6
1511827200,9722.9,9999,9580.8,9892.1
1511913600,9895.2,11441,9000,9766.1
1512000000,9766.1,10542,8821,9907
1512086400,9907,10950,9370.1,10860
1512172800,10861,11190,10621,10880
1512259200,10881,11874,10201,11162
1512345600,11161,11599,10718,11599
1512432000,11598,11961,11405,11592
1512518400,11591,13599,11590,13509
1512604800,13509,16649,13139,16609
1512691200,16608,17171,13722,15822
1512777600,15843,16300,13010,14661
1512864000,14679,15741,12730.63686141,14960
1512950400,14939,17450,14927,16753
1513036800,16753,17579,16210,16972
1513123200,16968,17293,15632,16171
1513209600,16176,16999,15851,16384
1513296000,16384,18111,16349,17569
1513382400,17569,19550,17050,19210
1513468800,19209,19891,18622,18960
1513555200,18956,19175,18010,18928
1513641600,18924,18987,16400,17345
1513728000,17344,17709,15500,16425
1513814400,16425,17333,14801,15645
1513900800,15645,15842.42999525,10700,13173
1513987200,13173,14999,12521,14035
1514073600,14036,14050,11600,13477
1514160000,13503,14278,12675,13633
1514246400,13634,16060,13531,15680
1514332800,15680,16494,14454,15375
1514419200,15374,15468,13145,14323
1514505600,14324,15131,13826,14304
1514592000,14304,14417,11651,12384
1514678400,12385,14210,12166,13769
1514764800,13763,13893,12777,13376
1514851200,13375,15500,12795,14722
1514937600,14717,15428.83091885,14500,15150
1515024000,15150,15422.15785315,14060,15159
1515110400,15159,17105,14725,16911
1515196800,16912,17252,16251,17169
1515283200,17165,17178,15712,16215.35727958
1515369600,16213,16329,13755,14906
1515456000,14911,15355,14122,14425
1515542400,14429,14901,13300,14900
1515628800,14900,14999,12639,13254
1515715200,13253,14100,12751,13794
1515801600,13790,14580,13750,14199
1515888000,14192,14393,12874.34212454,13558
1515974400,13554,14356,13300,13601
1516060800,13602,13617,9940,11065
1516147200,11065,11497,9231.1,11108
1516233600,11113,11904,10515,11030
1516320000,11031,11900,10647,11476
1516406400,11477,13017,11407,12731
1516492800,12731,12732,11015,11514
1516579200,11513,11900,10009,10779
1516665600,10779,11427,9900,10811
1516752000,10812,11557.88958366,10430,11391
1516838400,11390,11734,10845,11147
1516924800,11147,11700,10276,11070
1517011200,11069,11689,10800,11458
1517097600,11458,12190,11390,11828
1517184000,11835,11975,11070,11217.81768538
1517270400,11217.81768538,11250,9860.4,10171
1517356800,10171,10414,9760,10267
1517443200,10268,10336,8941,9181
1517529600,9181,9213,7960,8890.9
1517616000,8890,9499,8180,9225.06926588
1517702400,9223.9,9410,7809,8185.2
1517788800,8185.2,8380,6651,6946.6
1517875200,6948.6,7880,6000,7678.8
1517961600,7677.2,8488.9,7175.1,7586.9
1518048000,7585,8648.9,7565,8239.7
1518134400,8239.8,8750,7724.9,8678.1
1518220800,8679.1,9074.9,8151.3,8563
1518307200,8563,8570,7851,8069.3
1518393600,8070.7,9000,8069.57681296,8902.9
1518480000,8902.8,8952.9,8313.52192073,8511.6
1518566400,8512.1,9489,8512.1,9455.5
1518652800,9452.8,10176,9338,9996
1518739200,9996,10271,9670,10162
1518825600,10161,11084,10049,11062
1518912000,11062,11250,10122,10400
1518998400,10399,11250,10308,11172
1519084800,11172,11788,11100,11211
1519171200,11212,11239,10200,10450
1519257600,10451,10915,9740,9826.5
1519344000,9826.4,10395,9583.1,10144
1519430400,10143,10500,9350.3,9666.3
1519516800,9665.6,9840,9280.4,9583
1519603200,9579,10439,9359.9,10320
1519689600,10321,10888,10125,10582
1519776000,10583,11065,10261,10315
1519862400,10314,11095,10210,10908
1519948800,10920,11189,10762,11024
1520035200,11025,11530,11025,11454.95955159
1520121600,11454,11549,11050,11500
1520208000,11500,11700,11356,11402
1520294400,11402,11411,10567,10720
1520380800,10719,10899,9400,9910.6
1520467200,9910.5,10112,9025,9300
1520553600,9300,9428,8342,9216.2
1520640000,9216.1,9506.4,8670.9,8769.9
1520726400,8772.5,9729,8428,9527.7
1520812800,9525.9,9900,8770,9130.2
1520899200,9130.2,9482.4,8822,9135.2
1520985600,9136,9439.6,7916,8176
1521072000,8175.6,8418,7665.1,8250.1
1521158400,8249.5,8604.5,7902,8250
1521244800,8250,8367,7728.1,7845
1521331200,7838.6,8300,7240,8200.3
1521417600,8200.3,8717,8085.7,8600.2
1521504000,8600.2,9040,8305.1,8899.7
1521590400,8899.8,9177.5,8752,8888.2
1521676800,8888.3,9095.92211691,8450,8699.3
1521763200,8696,8917.6,8271.1,8914.4
1521849600,8917.2,9050.3,8460,8522.6
1521936000,8521.6,8674.4,8364.8,8445
1522022400,8445.3,8499.1,7835.9,8131.12312438
1522108800,8133.2,8210,7716.6,7784.6
1522195200,7785,8120.2,7702.1,7936
1522281600,7936.1,7973,6883,7094
1522368000,7094,7269,6533,6840.4
1522454400,6838,7222,6780.06217933,6925.4
1522540800,6925.3,7035.1,6425.1,6816.6
1522627200,6816.7,7132,6769.4,7053.3
1522713600,7053.4,7509.7,7019.9,7405.6
1522800000,7405.6,7422,6670,6786
1522886400,6785.9,6938,6565,6769
1522972800,6770.4,6864,6500.2,6610
1523059200,6610.3,7080,6599.9,6892.6
1523145600,6892.62150518,7127,6883,7023.9
1523232000,7023.9,7189,6611,6770.1
1523318400,6770.1,6897.4,6650,6837.1
1523404800,6836.1,7017.4,6794,6943.1
1523491200,6943.1,8087,6753,7912
1523577600,7911.9,8240,7739.1,7886.9
1523664000,7889.2,8185,7820.5,8005.90324308
1523750400,8007.13719858,8458.8,7997.2,8357.5
1523836800,8357.4,8415.5,7900.3,8056.2
1523923200,8056.2,8185,7823,7888.9
1524009600,7888.9,8237.2,7870.5,8171
1524096000,8172.7,8297.4,8032.2,8273
1524182400,8273.6,8937.5,8219,8865.4
1524268800,8863.3,9069,8616,8912.5
1524355200,8912.4,9048.2,8751.08522139,8791.4
1524441600,8791.4,9011,8769,8940
1524528000,8940.3,9745,8929.9,9646.8
1524614400,9646.9,9767.4,8765.1,8869.2
1524700800,8867.4,9308,8652.2,9269.9
1524787200,9268.9,9381.1,8888.6,8920.1
1524873600,8920.1,9500,8750,9345.7
1524960000,9345.3,9565.1,9180,9400
1525046400,9400,9450,9100,9240.6
1525132800,9240.6,9247.3,8817.97469512,9068.2
1525219200,9071.3,9279.9,8968.3,9236.4
1525305600,9236.4,9875,9161,9759
1525392000,9759,9848,9542.5,9703
1525478400,9703,9990,9685,9861.2
1525564800,9861.3,9964,9454,9658.7
1525651200,9658.6,9677.9,9182.7,9370
1525737600,9370,9471,9045.3,9184.7
1525824000,9184.8,9375.8,8980,9318.2
1525910400,9318.2,9393.9,9003,9018
1525996800,9018,9018.1,8333.8,8412.4
1526083200,8412.4,8631.7,8204.40576219,8470.8
1526169600,8471.4,8760,8318.3,8683.6
1526256000,8683.5,8884.5,8271,8670.8
1526342400,8670.8,8855.7,8415,8467.5
1526428800,8468.3,8492.7,8100,8336.1
1526515200,8336,8482.2,7982.5,8054.3
1526601600,8054.8,8277.2,7925,8238.9
1526688000,8239,8468,8140.2,8231
1526774400,8230.9,8597.9,8171.5,8523.7
1526860800,8523.7,8644,8309.1,8399.6
1526947200,8393.4,8408.28483299,7943.3,7977.85004461
1527033600,7977.5,8020,7402.7,7494.8
1527120000,7494.75035778,7729.83193573,7260,7576.7
1527206400,7576.7,7654.1,7318.2,7456.7
1527292800,7457,7624.1,7281,7327.7
1527379200,7328.3,7425.4,7211.1,7339.7
1527465600,7339.6,7437.7,7062.3,7097.9
1527552000,7097.8,7536,7040,7465.2
1527638400,7465.3,7560,7270.5,7375.12085307
1527724800,7375.2,7599.7,7338,7485.8
1527811200,7485.9,7599.8,7329.18847938,7521
1527897600,7521.1,7698.8,7441.5,7638.1
1527984000,7638,7779,7600,7718
1528070400,7718.1,7764,7451.1,7488.3
1528156800,7488.4,7675,7372,7621.9
1528243200,7622.2,7700,7491.7,7654
1528329600,7654,7756.3,7624.7,7688.9
1528416000,7689,7697,7543.6,7615.1
1528502400,7615.2,7685,7450,7498.5
1528588800,7498.5,7498.6,6618.9,6758
1528675200,6757.9,6899,6629.7,6873.3
1528761600,6873.4,6873.4,6436.1,6543.9
1528848000,6543.9,6611.7,6107.87718467,6295.1
1528934400,6295,6736.52103872,6269.5,6633.7
1529020800,6633.8,6659,6300.2,6385
1529107200,6386,6559.7,6330,6485.9
1529193600,6489,6573,6424.8,6438.4
1529280000,6443,6849.7,6370.76958739,6709.2
1529366400,6709.2,6848.2,6655,6735.5
1529452800,6734.8,6825,6560,6760.4
1529539200,6760.4,6788.8,6679.3,6715.2
1529625600,6715.2,6731,5910.8,6042.6
1529712000,6042.6,6259,6013,6151.92764906
1529798400,6152,6249.7,5755,6148.0390596
1529884800,6148.1,6341,6068.5,6246.6
