time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676,MHULL,SHULL,KD,J,RSI,MACD,Signal Line,Histogram,Cross,QQE Line,Histo2,QQE Up,QQE Down,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes
910227600,6933.2998,6957.2998,6827.3999,6957.2998,7001.125166862614,7423.930199044467,7507.044598417745,NaN,NaN,7539.506465721466,7429.370730809092,7003.728405654847,6975.889551608688,51.847420187757535,13.947499702614437,29.383739272585473,36.282563504139944,40.18431776691573,-3.901754262775789,40.18431776691573,6.394337821422198,1.294744935716956,NaN,NaN,-55.40783076921889,195.945707307703,289.6264433996845,102.26497121572149,0,NaN,NaN
910314000,6931.1001,6967.2998,6858.1001,6889.6001,6983.967464268366,7416.560128712819,7499.780545495183,NaN,NaN,7537.253757348081,7427.77613514939,7012.034478458307,6991.215868765718,42.75974656936715,1.0906022808196525,23.639431016321495,24.698379677186495,39.99174936771801,-15.293369690531513,NaN,2.4611431413706697,-2.7976059481997737,NaN,NaN,-46.684646153835274,168.81841076924138,278.4553219102561,59.181499628226646,0,NaN,NaN
910573200,6989.3999,7014.2998,6941.6001,6957.3999,6979.880146688617,7410.226884178849,7493.399596724652,NaN,NaN,7535.243865294881,7426.386545089865,7018.290952659416,7003.728405654847,39.1789321616085,9.392323997938135,29.880614246977956,20.749520215303164,38.68313418403573,-17.933613968732566,NaN,2.4363054703617877,-2.7873510203449356,NaN,NaN,17.74226153847212,147.33994769231822,261.03242566505986,33.64746971957658,0,NaN,NaN
910659600,6847.5,6862.3999,6786,6812.2998,6954.098554890368,7401.979614052244,7485.386657939656,NaN,NaN,7532.737993318123,7424.572404040855,7018.795886215729,7012.034478458307,31.072050759411336,-4.088456827916744,17.981813963820713,5.8442859335964386,35.88926783068372,-30.044981897087283,NaN,-1.5926743419124776,-6.827545896168537,NaN,NaN,-142.46542692306593,106.76455692308745,234.7765313388557,-21.247417492680782,0,NaN,NaN
910746000,6738.2002,6768.3999,6643.2002,6654.7998,6908.052592599543,7391.6736855825575,7475.615047846249,NaN,NaN,7529.694879996397,7422.2983343095675,7010.50716527855,7018.290952659416,23.811097281025713,-11.921540208602373,7.227309477557469,-18.464308286356754,30.081849132851957,-48.54615741920871,NaN,-7.106163403350003,-12.455086205741914,NaN,-12.455086205741914,-280.08069615383465,58.829177307702956,213.57517574399714,-95.91682112859121,0,NaN,NaN
910918800,6785,6870.6001,6776.3999,6829.6001,6895.982978353459,7383.920946471074,7468.014871989234,NaN,NaN,7527.2682083152995,7420.547379407619,7000.367996474866,7018.795886215729,24.559907004879797,8.565612569700981,22.877652899110743,-23.354900244596138,22.77906184386302,-46.13396208845916,NaN,-7.106163403350003,-10.054204535995801,NaN,-10.054204535995801,-183.4076576922971,21.376490000010655,181.63873612258715,-138.88575612256585,0,NaN,NaN
911178000,6890,7003.8999,6889.5,7003.8999,6912.585581683696,7378.679276864576,7462.554695848185,NaN,NaN,7525.454106726685,7419.316515362101,6993.491108809094,7010.50716527855,34.522267671657104,51.431022121010955,35.77571196905673,-13.016150351540091,14.899337131413935,-27.915487482954028,NaN,-9.732595833087863,-4.207451375079977,NaN,NaN,-70.58462307691207,-10.548115384604717,138.67255941235706,-159.76879018156652,0,NaN,NaN
911264400,7067,7131.8999,7032.6001,7131.8999,6946.32624604005,7375.275423390583,7458.664639426441,NaN,NaN,7524.089967361947,7418.467426395005,6992.439082762919,7000.367996474866,49.44862495460783,95.2188953866616,43.96794578216216,5.4431682296462895,9.09221627036853,-3.6490480407222403,NaN,-3.665609356534823,2.0833908561455488,NaN,NaN,66.76543846154891,-42.62310961537396,66.23384283397802,-151.48006206472593,0,66.23384283397802,NaN
911350800,7140.2998,7176.6001,7083.3999,7100.1001,6969.9837620338885,7371.479901688644,7454.446233080247,NaN,NaN,7522.620331773171,7417.52690253564,6995.330395562943,6993.491108809094,58.51227876449073,104.05654850522485,41.37714127863586,17.306830727959095,6.165487711704271,11.141343016254824,6.165487711704271,-0.6419444471906814,5.244173943976918,5.244173943976918,NaN,112.13082307693458,-54.81808538460473,36.76369868359302,-146.39986945280248,0,NaN,NaN
911437200,7185.5,7306.1001,7177.2998,7300.2998,7020.8016140286745,7370.498107182593,7452.632745632244,NaN,NaN,7521.849723344148,7417.180589086495,7006.880500622811,6992.439082762919,68.54942529593791,116.41442649492289,53.21213974346172,42.3748405972583,6.842407388717422,35.53243320854088,NaN,4.692703798987168,10.757089702436225,10.757089702436225,NaN,220.95768846154897,-36.10346692306639,75.82367108848871,-148.0306049346215,0,NaN,NaN
