time,open,high,low,close,Volume
1459857600,422.09,423,420.56,421.75,815.51582269
1459872000,422.44,422.5,420.43,420.83,664.97137842
1459886400,420.82,422.74,420.65,422.71,338.6402993
1459900800,422.71,422.9,420.71,422.17,250.97686506
1459915200,422.17,422.84,421.1,421.83,238.79148662
1459929600,422.42,422.44,420.26,420.88,459.96680332
1459944000,421,422.79,420.51,421.83,539.61194371
1459958400,422.2,422.48,420.11,421.74,567.77322875
1459972800,421.74,421.75,420,421.03,338.41759007
1459987200,420.62,421.69,419.17,419.47,244.86161634
1460001600,420.12,421.13,418.21,419.91,379.92817239
1460016000,420.28,421.49,419.62,419.94,540.06898198
1460030400,420.26,421.99,419.25,421.23,727.87790138
1460044800,421.7,421.99,419.69,420,611.92407467
1460059200,420.74,421.99,418.09,420,711.66991974
1460073600,419.99,420.6,417.3,420,598.77293383
1460088000,420,423.39,419.6,422.02,510.13331107
1460102400,422.98,423.58,420.59,421.3,509.54498151
1460116800,421.85,423.99,420.85,422.41,762.47009938
1460131200,423.1,423.89,416.26,418.51,1130.95900888
1460145600,418.05,420.69,416.58,417.75,1072.25065798
1460160000,417.75,418.13,412,414.86,1855.50351175
1460174400,414.86,415.86,414.75,415.31,316.42774442
1460188800,415.49,417.63,414.94,417.63,312.76116954
1460203200,417.63,418.4,417.02,418.34,660.84785771
1460217600,417.92,418.71,417.02,418,237.52591132
1460232000,418,418.59,417.02,418.24,216.33049866
1460246400,418.59,418.72,417.98,418.36,37.13734646
1460332800,420.4,422.8,418,422.69,3487.8325098
1460419200,422.79,426.67,421,425.54,6082.73402325
1460505600,425.32,426,422.27,423.93,3917.08383409
1460635200,424.5,425.2,423.91,424.69,283.44900646
1460649600,424.69,425,423.02,424.95,464.85342645
1460664000,424.95,425.35,423.16,424.86,361.37678229
1460678400,424.4,425.32,423.73,424.9,416.23741189
1460692800,424.9,425.56,423.07,424.87,399.25934018
1460707200,424.55,428.53,423.84,428.5,735.4361427
1460721600,428.5,430,427.5,428.17,1356.45250743
1460736000,429.12,429.5,426.61,428.31,1114.82600528
1460750400,429.25,429.49,426.88,429.45,384.02945491
1460764800,429.29,429.44,428.34,428.41,86.77873807
1460779200,428.39,432.17,428,432,558.2111101
1460793600,432.17,432.87,430.08,431.1,380.55971934
1460808000,431.03,431.04,427.12,429.72,272.13763875
1460822400,429.72,430.45,381.47,429.81,259.63551912
1460836800,429.81,430.98,428.39,430.69,291.07003676
1460851200,430.18,430.91,429.15,429.2,157.49141505
1460865600,429.4,429.81,427,428.69,269.43357841
1460880000,428.69,429.79,427.27,428.37,207.1851988
1460894400,427.92,428.98,426.19,428.07,295.54229507
1460908800,426.49,427.82,377.87,426.69,316.420388
1460923200,426.69,427.92,425,427.42,256.79018418
1460937600,427.15,428,426.45,428,302.73099094
1460952000,428,430.01,427.12,428.67,441.78758632
1460966400,429.5,429.98,426.64,427.07,625.07564517
1460980800,427.1,428.28,425.8,426.69,1023.99714964
1460995200,426.69,428.38,426,426.64,549.3495356
1461009600,426.64,428.26,426.55,428.14,237.48986431
1461024000,428.14,428.14,426.65,426.75,189.38621446
1461038400,427.62,428.81,426.24,428.72,362.67620905
1461052800,428.75,430,427.02,430,637.09828894
1461067200,429.94,430.64,427.93,429,679.33446032
1461081600,429.1,430.28,428.32,430,819.87095635
1461096000,430,436.82,378.98,435.63,1109.95121961
1461110400,435.7,437.4,433.11,435.2,630.31454312
1461124800,435.01,437.49,435.01,435.81,978.94238701
1461139200,435.82,438.9,435.81,437.23,2376.63781774
1461153600,437.62,440,436.6,440,1094.02296885
1461168000,440,443.47,438.58,440.78,1585.22706227
1461182400,441.61,444,440,442.13,937.50187105
1461196800,441.99,444.42,440,442.95,431.73626507
1461211200,442.95,443.6,440.06,440.94,713.10675836
1461225600,441,443.95,440.66,442.99,554.30390333
1461240000,442.99,444.84,442.02,444.78,704.77453679
1461254400,444.77,450,443.62,449.99,1789.09076629
1461268800,449.99,452.11,448.64,451,1228.14409551
1461283200,451,451.36,445.94,446.58,959.98809533
1461297600,446.34,447.1,442.96,447.09,880.50529945
1461312000,446.32,448.89,446.28,447.31,742.12178077
1461326400,447.49,448.03,445.37,447.31,1655.82285584
1461340800,448.02,450.57,446.81,449,993.28623691
1461355200,449.71,449.71,447.05,447.7,262.71688846
1461369600,447.16,449.1,447,447.57,188.67012024
1461384000,447.04,447.46,445.17,445.89,279.46840096
1461398400,446.71,448.14,444.46,447.14,363.43822701
1461412800,447.15,449,446.92,448.16,268.45968901
1461427200,448.98,449.5,446.85,448.33,258.59379088
1461441600,447.29,452.19,446.04,451.92,891.40498269
1461456000,451.92,457.8,450.33,454.35,883.01602179
1461470400,454.7,455.73,451.61,453.63,413.33484224
1461484800,453.99,457,450.73,452.7,565.90946003
1461499200,452.7,453.41,447.06,450.25,790.53279974
1461513600,450.25,470.02,449.86,462.49,3384.80809517
1461528000,465.05,465.06,457.5,460.02,1065.71132938
1461542400,460.03,460.91,457.5,457.55,304.12025711
1461556800,457.57,459.65,406,458,432.74961255
1461571200,458,460.66,455.13,458.24,941.4658635
1461585600,456.53,461.98,456.1,460.19,878.74053193
1461600000,460.24,464,459.46,463.1,1129.75036402
1461614400,462.64,469.47,462.33,462.33,1920.46201492
1461628800,462.29,467.01,462.27,464.97,702.96118126
1461643200,464.97,466.42,462.13,465.5,731.06901482
1461657600,466.17,466.95,463.51,463.51,578.35415744
1461672000,463.5,469.27,462.91,466.17,420.24728889
1461686400,466.32,469.87,464.83,469.31,840.41412428
1461700800,469.32,469.47,466.56,467.42,321.17848565
1461715200,467.39,469.03,413.75,413.75,317.19775988
1461729600,465.95,467.75,412,467.34,376.94535282
1461744000,467.08,467.61,410,464,994.11926465
1461758400,464,464.1,410.37,457,1525.90347786
1461772800,456.09,457.38,452.55,452.96,515.88159788
1461787200,453.65,453.65,443.2,445.38,1661.29531983
1461801600,445.39,446.22,435,440.99,1009.30855506
1461816000,439.92,447.03,436.13,445.61,1893.49440327
1461830400,445.61,446.95,442.11,445.22,889.73692383
1461844800,445.74,450.4,445,450.18,1308.94803233
1461859200,450.18,451,447.01,447.75,1203.26719747
1461873600,448.92,450,447.93,449.14,411.61548237
1461888000,449.94,450,446,446.58,334.93031847
1461902400,446,449.17,445.62,449.14,205.86852673
1461916800,449.15,450.21,447.34,450,220.57904139
1461931200,450.21,453,450,452.48,624.46000758
1461945600,452.48,455,450.93,455,698.77411698
1461960000,454.95,456.53,452.57,456.53,511.29157687
1461974400,456.53,456.9,452,453.02,273.35514118
1461988800,454.46,454.92,397.73,454.32,243.99853246
1462003200,454.32,454.34,452.73,453.72,176.15320874
1462017600,453.72,453.99,396.7,451.81,214.25751526
1462032000,451.8,453.74,393.15,449.02,987.38027818
1462046400,449.46,451.38,394,448.37,417.58894148
1462060800,448.43,449.12,446.84,447.59,125.06676774
1462075200,447.59,450.48,447.57,450,151.70433746
1462089600,450.12,452.99,449.61,451.09,188.3197649
1462104000,451.11,453.52,451.11,452.2,203.90391918
1462118400,452.9,453.29,449.01,451.98,159.62444564
