time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676,ATR Short Stop Loss,ATR Long Stop Loss,MHULL,SHULL,MACD,Signal Line,Histogram,Cross,DPO,Midline,Upper Band,Lower Band,Zero Line,Buy Arrow,Sell Arrow,Shapes,Shapes
1728951300,65965.08,66330,65948.75,66330,66098.85151926898,64590.26550963497,64396.43389544171,NaN,NaN,63051.921435187556,62942.05278425624,66664.69731742724,65614.05268257276,66183.22053655602,66167.28306865423,122.25280017290788,132.24373586042202,-9.990935687514138,NaN,187.1440384612215,207.49859615352324,292.21152263195387,122.78566967509262,0,NaN,NaN,NaN,NaN
1728952200,66329.99,66329.99,65884,65909.73,66069.7559009199,64608.4650198469,64414.23737902475,NaN,NaN,63061.827184112386,62950.81992521855,66688.56608046817,65525.423919531844,66184.5201471518,66173.51070904624,98.11042027539224,130.45649502933117,-32.34607475393892,NaN,129.93134615353483,217.10059615352367,291.7588723740475,142.44231993299985,0,NaN,129.93134615353483,NaN,142.44231993299985
1728953100,65909.74,66000,65856.45,65929.99,66048.25345462453,64626.692950607634,64432.06976280093,NaN,NaN,63071.768822988946,62959.62101849708,66348.34386043472,65508.10613956528,66180.2376972016,66183.22053655602,79.6935651388776,125.16947544148489,-45.47591030260729,NaN,-83.47634615417337,189.69188461506127,293.7607686142531,85.62300061586944,0,NaN,NaN,NaN,NaN
1728954000,65930,66013.83,65891.47,65970.62,66036.30984622076,64645.22987542684,64450.1703538268,NaN,NaN,63081.81683400112,62968.516141042135,66350.40215611795,65554.89784388205,66172.57729578952,66184.5201471518,67.5973559562699,115.31632109016775,-47.71896513389785,NaN,-71.49596153877792,157.53192307659918,277.11809618862196,37.945749964576436,0,NaN,NaN,NaN,NaN
1728954900,65970.61,65983.98,65830.28,65883.38,66012.78217757141,64662.307808179576,64467.031643781775,NaN,NaN,63091.52762487113,62977.127260270965,66312.97914496667,65501.28085503333,66160.1912105322,66180.2376972016,50.39061251170642,104.06099200540888,-53.670379493702455,NaN,-113.43096153879014,106.47801923044463,223.3464828257789,-10.390444364889646,0,NaN,NaN,NaN,NaN
1728955800,65883.39,65915.05,65733.39,65898,65995.12338102196,64679.35183841158,64483.86656561964,NaN,NaN,63101.255432063954,62985.75613099395,66240.01277746905,65408.42722253095,66144.61842076376,66172.57729578952,37.50156152223644,91.79316826467726,-54.29160674244082,NaN,-179.45115384647215,51.18907692275243,162.42331938657486,-60.04516554107,0,NaN,NaN,NaN,NaN
1728956700,65898.01,65932.1,65840,65866.48,65975.33209163396,64695.72601995073,64500.13260602411,NaN,NaN,63110.840265921615,62994.26639353163,66243.71900764984,65528.38099235017,66125.86846809076,66160.1912105322,24.461518023104873,79.44730634133481,-54.985788318229936,NaN,-157.66076923109358,14.918365384291974,128.08926331724186,-98.25253254865791,0,NaN,NaN,NaN,NaN
1728957600,65866.48,65870,65706.66,65781.99,65945.5871544595,64710.70897139968,64515.21328124736,NaN,NaN,63120.099017166256,63002.50191378708,66176.86122138913,65399.79877861087,66102.494189351,66144.61842076376,7.226252967971959,66.1924436352371,-58.96619066726514,NaN,-251.08326923109416,-28.173923077245128,91.85486342707918,-148.20270958156945,0,NaN,NaN,NaN,NaN
1728958500,65781.99,65928,65781.99,65819.6,65926.20451531188,64726.00402007003,64530.559007350326,NaN,NaN,63129.45603963709,63010.824212416956,66228.58649128991,65481.4035087101,66077.88965630798,66125.86846809076,-3.359282365461695,53.76386713366729,-57.123149499128985,NaN,-247.36807692341972,-69.58500000032363,48.53704659139572,-187.70704659204299,0,NaN,NaN,NaN,NaN
1728959400,65819.6,65849.47,65723.05,65743.51,65898.09766680236,64740.038585310445,64544.829019028555,NaN,NaN,63138.51688525359,63018.897139411296,66142.13102762634,65430.388972373665,66050.71337887377,66102.494189351,-17.68436808406841,38.21529288289215,-55.89966096696056,NaN,-299.3328846157092,-108.6224038464774,12.639473359507434,-229.88428105246223,0,NaN,NaN,NaN,NaN
1728960300,65743.5,65760,65706.01,65759.99,65876.85033344815,64754.106880685475,64559.1250305694,NaN,NaN,63147.60344717646,63026.994902662664,66037.54131136731,65428.468688632674,66022.32847581255,66077.88965630798,-27.391550705957343,24.270629440519972,-51.66218014647731,NaN,-350.8036538464803,-162.41717307724758,-57.50056093742461,-267.33378521707056,0,NaN,NaN,NaN,NaN
1728961200,65759.99,65760,65682.52,65682.99,65847.02566676382,64766.919061641536,64572.34697138623,NaN,NaN,63156.39161547047,63034.84126927223,66026.01836055536,65416.501639444636,65991.67991931217,66050.71337887377,-40.82718893443234,10.879434543485534,-51.70662347791787,NaN,-374.41846153879305,-212.85215384648035,-130.47462914707125,-295.22967854588944,0,NaN,NaN,NaN,NaN
1728962100,65683,65701.31,65591.35,65640,65815.17556418477,64778.961557343035,64584.907595252276,NaN,NaN,63165.00031004423,63042.537454591955,65960.10847765855,65332.551522341455,65958.67635523604,66022.32847581255,-54.31782072101487,-2.666696198434996,-51.65112452257987,NaN,-425.4940384618676,-247.05392307724978,-158.39710327040086,-335.7107428840987,0,NaN,NaN,NaN,NaN
1728963000,65640,65651.1,65363.3,65518.15,65769.47932354096,64789.15726000037,64595.886917661075,NaN,NaN,63173.156808103005,63049.85093330808,65922.24858639724,65092.151413602776,65921.28498260668,65991.67991931217,-73.98862544588337,-16.486611527056084,-57.50201391882729,NaN,-515.7067307695543,-291.47500000032744,-195.33030645756975,-387.61969354308513,0,NaN,NaN,NaN,NaN
1728963900,65518.15,65558,65324.4,65400,65712.63635068851,64797.58267710381,64605.34707157095,NaN,NaN,63180.87550200906,63056.79376659225,65834.80940165457,65047.590598345436,65877.82640779394,65958.67635523604,-97.98212059561047,-31.54035398459463,-66.44176661101584,NaN,-569.5975000003382,-337.09165384648225,-233.0061314564493,-441.17717623651515,0,NaN,NaN,NaN,NaN
1728964800,65399.99,65499.98,65322,65499.98,65679.91998904412,64807.27091604031,64615.87216484659,NaN,NaN,63188.913992470036,63064.011451181344,65776.08658725067,65045.89341274933,65832.6924370147,65921.28498260668,-107.68822510783502,-46.22365877692128,-61.46456633091374,NaN,-552.7203846157208,-374.4185769234071,-267.98841804604007,-480.84873580077414,0,NaN,NaN,NaN,NaN
1728965700,65499.97,65634.79,65493.9,65590.01,65666.08768303733,64818.06731719837,64627.33260996604,NaN,NaN,63197.236682270835,63071.47378071995,65906.27004530419,65222.419954695804,65789.29136918504,65877.82640779394,-106.883626362629,-58.902534258099166,-47.981092104529836,NaN,-401.66826923110057,-398.8193269234078,-309.45000780012094,-488.18864604669466,0,NaN,NaN,NaN,NaN
1728966600,65590,65680,65550,65659.99,65665.14957795467,64829.680043857705,64639.48152043703,NaN,NaN,63205.773088918075,63079.12080057011,65946.01718492532,65283.982815074676,65749.82329161513,65832.6924370147,-99.45274556381628,-69.57958572458301,-29.873159839233267,NaN,-308.6413461541815,-404.57513461571654,-320.37736466520516,-488.7729045662279,0,-308.6413461541815,NaN,-320.37736466520516,NaN
1728967500,65659.99,65691.21,65561.1,65599.99,65655.12502750011,64840.30500877001,64650.7816201966,NaN,NaN,63214.07193436377,63086.56797693475,65952.16631457352,65300.14368542649,65712.67081412766,65789.29136918504,-97.28379057256097,-78.42396600108219,-18.859824571478782,NaN,-272.1421153849369,-407.05253846186827,-325.65167259674195,-488.4534043269946,0,NaN,NaN,NaN,NaN
1728968400,65599.99,65600,65375,65426.49,65619.95040788471,64848.39031899387,64659.90760113546,NaN,NaN,63221.74062783218,63093.48059738694,65866.4237206754,65108.576279324596,65673.48353224421,65749.82329161513,-108.31627551591373,-87.41560209107735,-20.900673424836384,NaN,-370.92442307726014,-414.2116923080233,-337.1778775554012,-491.2455070606454,0,NaN,NaN,NaN,NaN
1728969300,65426.49,65471,65356.85,65379.09,65582.89496051783,64855.710314593955,64668.36857053387,NaN,NaN,63229.218441947145,63100.2327669663,65730.62381205574,65097.22618794427,65632.16901430118,65712.67081412766,-119.50678337163117,-96.1577792507661,-23.349004120865075,NaN,-416.7584615388041,-420.8071730772557,-345.6442406636104,-495.970105490901,0,NaN,NaN,NaN,NaN
1728970200,65379.09,65379.1,65201,65297.58,65539.0003512074,64861.805068875416,64675.77105793935,NaN,NaN,63236.38780609984,63106.72419158383,65639.2613969089,64940.838603091106,65587.61238704219,65673.48353224421,-133.4145968383964,-104.94630993047515,-28.46828690792124,NaN,-459.9011538464838,-429.3554423080248,-354.7713215973307,-503.9395630187189,0,NaN,NaN,NaN,NaN
1728971100,65297.57,65386.99,65296,65363.24,65511.960297175494,64868.721412752995,64683.85892784595,NaN,NaN,63243.759910758075,63113.39041258358,65638.31736855826,65044.67263144174,65542.87235177455,65632.16901430118,-137.55280286690686,-112.00899631058888,-25.543806556317975,NaN,-400.1776923080324,-426.82380769264125,-351.9090511163536,-501.7385642689289,0,NaN,NaN,NaN,NaN
1728972000,65363.25,65380,65285.24,65362,65488.889482225415,64875.52525533571,64691.83705810658,NaN,NaN,63251.10216410033,63120.03327694818,65623.5282708041,65041.7117291959,65498.773613696496,65587.61238704219,-139.3263511471814,-116.60279970520787,-22.72355144197354,NaN,-357.98115384648554,-411.0512500003344,-338.5894639992117,-483.51303600145707,0,NaN,NaN,NaN,NaN
1728972900,65361.99,65544.31,65361.99,65472.12,65486.30956188304,64883.754148365566,64701.016857422976,NaN,NaN,63258.80066613118,63126.981834475664,65789.97768003237,65116.32231996762,65459.414756235834,65542.87235177455,-130.3436171656649,-119.12006548941119,-11.22355167625372,NaN,-247.65000000032887,-378.8565000003335,-310.39202217400003,-447.32097782666693,0,NaN,NaN,NaN,NaN
