Date,KO_price,KO_zscore,PEP_price,PEP_zscore,Zscore_diff
2012-10-03,25.89,1.0754231180800868,49.15,1.2755762399890673,-0.2001531219089805
2012-10-04,25.95,1.1029551683878884,49.26,1.3057295701136615,-0.2027744017257731
2012-10-05,26.12,1.196133549525227,49.42,1.3543481345575228,-0.1582145850322958
2012-10-08,26.12,1.1878259382663017,49.49,1.3718864072483907,-0.18406046898208905
2012-10-09,26.11,1.1737509246010183,49.43,1.3416560021946335,-0.16790507759361528
2012-10-10,25.79,0.9726582825635802,48.86,1.1241722277486283,-0.15151394518504813
2012-10-11,25.8,0.9718334450806851,48.53,0.995170193223051,-0.02333674814236586
2012-10-12,25.88,1.0133532365616993,48.69,1.0482105497781948,-0.034857313216495545
2012-10-15,25.82,0.9692347987501679,48.9,1.1192380037023835,-0.15000320495221553
2012-10-16,25.66,0.8643229869120481,48.87,1.101154851005704,-0.23683186409365597
2012-10-17,25.55,0.7901978874008215,48.73,1.0405060242275996,-0.2503081368267781
2012-10-18,25.62,0.826599514239259,49.19,1.2059744000830792,-0.3793748858438202
2012-10-19,25.32,0.6356543295479262,48.58,0.9676120222153825,-0.33195769266745623
2012-10-22,25.21,0.5618125036003373,48.38,0.8850244088059873,-0.32321190520565
2012-10-23,24.79,0.2957259508253172,47.63,0.5927078307814495,-0.2969818799561323
2012-10-24,24.97,0.4021402839329997,47.55,0.5560606775802551,-0.1539203936472554
2012-10-25,25.11,0.4838770656165284,47.89,0.6808941772846138,-0.1970171116680854
2012-10-26,25.08,0.4596979646794378,47.95,0.697969178582714,-0.2382712139032762
2012-10-31,25.17,0.5106475739611587,48.13,0.7616985280102555,-0.25105095404909683
2012-11-01,25.27,0.5677343728711037,48.27,0.8101862891446024,-0.2424519162734987
2012-11-02,25.1,0.45459685900326297,48.0,0.6982851802648967,-0.24368832126163376
2012-11-05,24.89,0.31639133271805475,47.96,0.6763973527510204,-0.36000602003296567
2012-11-06,25.33,0.5905941930553783,48.21,0.7688810430782848,-0.17828685002290645
2012-11-07,24.86,0.28612361888748933,47.96,0.6636043323738571,-0.37748071348636775
2012-11-08,24.62,0.12702698238034868,47.82,0.6018548854929925,-0.4748279031126438
2012-11-09,24.57,0.08961025595336444,47.86,0.6118590275890731,-0.5222487716357086
2012-11-12,24.43,-0.005144736919453896,47.69,0.537481687336081,-0.542626424255535
2012-11-13,24.48,0.021744296844491404,47.67,0.5233587886742862,-0.5016144918297948
2012-11-14,24.38,-0.04810230070546484,47.39,0.403330885779471,-0.45143318648493586
2012-11-15,24.66,0.1290785158764657,47.4,0.40171871242381074,-0.27264019654734506
2012-11-16,24.75,0.1817766316542527,47.48,0.42840337454747074,-0.24662674289321804
2012-11-19,25.21,0.4772992031571206,47.81,0.558800262528535,-0.08150105937141439
2012-11-20,25.22,0.4782067893916402,47.9,0.5901804821209472,-0.11197369272930702
2012-11-21,25.31,0.5317491646455232,48.18,0.7009435096384158,-0.16919434499289254
2012-11-23,25.68,0.770354005538736,48.79,0.949347791050622,-0.17899378551188594
2012-11-26,25.29,0.5054033704317188,48.66,0.887709998175671,-0.3823066277439522
2012-11-27,25.33,0.5260779096481712,48.74,0.9143214859082002,-0.3882435762600289
2012-11-28,25.6,0.7010579518657445,48.9,0.9745222411630782,-0.2734642892973337
2012-11-29,25.88,0.8837623745145909,48.87,0.9552338159483342,-0.07147144143374329
2012-11-30,25.85,0.8576334181838153,48.8,0.9190724136682477,-0.061438995484432324
2012-12-03,25.48,0.5998352938277278,48.57,0.8154027003296394,-0.21556740650191153
2012-12-04,25.32,0.4837320203264304,48.56,0.8053874254910974,-0.321655405164667
2012-12-05,25.43,0.5543183198964098,48.83,0.9156589254243085,-0.3613406055278987
2012-12-06,25.48,0.5834006207261906,49.05,1.0040702674513613,-0.4206696467251707
2012-12-07,25.71,0.7394539494075225,49.22,1.0701198444826416,-0.3306658950751191
2012-12-10,25.66,0.6980266507950348,49.18,1.0449301427823978,-0.34690349198736303
2012-12-11,25.81,0.7989867947967003,49.33,1.1021632795252958,-0.3031764847285955
2012-12-12,25.66,0.6857253579261267,49.2,1.0375073800360375,-0.35178202210991083
